fips,cases
6025.0,3043737
6027.0,56686
6029.0,7884109
6037.0,81587695
6059.0,16437080
6065.0,18091100
6071.0,17829947
6073.0,15325842
6079.0,1089836
6083.0,2308753
6111.0,3949134
