county,cases
Imperial,3043737
Inyo,56686
Kern,7884109
Los Angeles,81587695
Orange,16437080
Riverside,18091100
San Bernardino,17829947
San Diego,15325842
San Luis Obispo,1089836
Santa Barbara,2308753
Ventura,3949134
